method,success,s,type,seed
IHT,1,1,gaussian,186
HTP,1,1,gaussian,186
HTP',1,1,gaussian,186
IHT,1,2,linear,558
HTP,1,2,linear,558
HTP',1,2,linear,558
IHT,1,1,gaussian,187
HTP,1,1,gaussian,187
HTP',1,1,gaussian,187
IHT,1,1,gaussian,188
HTP,1,1,gaussian,188
HTP',1,1,gaussian,188
IHT,1,12,linear,3534
HTP,1,12,linear,3534
HTP',1,12,linear,3534
IHT,1,1,gaussian,189
HTP,1,1,gaussian,189
HTP',1,1,gaussian,189
IHT,1,9,linear,2604
HTP,1,9,linear,2604
HTP',1,9,linear,2604
IHT,1,8,gaussian,2232
HTP,1,8,gaussian,2232
HTP',1,8,gaussian,2232
IHT,1,2,flat,372
HTP,1,2,flat,372
HTP',1,2,flat,372
IHT,1,1,gaussian,190
HTP,1,1,gaussian,190
HTP',1,1,gaussian,190
IHT,1,5,linear,1488
HTP,1,5,linear,1488
HTP',1,5,linear,1488
IHT,1,5,gaussian,1302
HTP,1,5,gaussian,1302
HTP',1,5,gaussian,1302
IHT,1,2,linear,559
HTP,1,2,linear,559
HTP',1,2,linear,559
IHT,1,10,flat,2790
HTP,1,10,flat,2790
HTP',1,10,flat,2790
IHT,1,2,flat,373
HTP,1,2,flat,373
HTP',1,2,flat,373
IHT,1,14,flat,3906
HTP,1,14,flat,3906
HTP',1,14,flat,3906
IHT,1,7,flat,1860
HTP,1,7,flat,1860
HTP',1,7,flat,1860
IHT,1,9,flat,2418
HTP,1,9,flat,2418
HTP',1,9,flat,2418
IHT,1,1,flat,0
HTP,1,1,flat,0
HTP',1,1,flat,0
IHT,1,4,linear,1116
HTP,1,4,linear,1116
HTP',1,4,linear,1116
IHT,1,4,flat,930
HTP,1,4,flat,930
HTP',1,4,flat,930
IHT,1,3,gaussian,744
HTP,1,3,gaussian,744
HTP',1,3,gaussian,744
IHT,1,5,gaussian,1303
HTP,1,5,gaussian,1303
HTP',1,5,gaussian,1303
IHT,1,15,flat,4278
HTP,1,15,flat,4278
HTP',1,15,flat,4278
IHT,1,12,flat,3348
HTP,1,12,flat,3348
